dataset_id,speaker,language,type,reference_text,audio_file,whisper_transcription,normalized_text,expected_intent,expected_schemes,detected_intent,extracted_entities,retrieved_schemes,recommended_schemes,wer,cer,transcription_correctness,normalization_correctness,intent_correctness,retrieval_hit_at_1,retrieval_hit_at_3,retrieval_hit_at_5,recommendation_correctness,failure_stage,error_whisper,error_normalization,error_retrieval,error_recommendation
17,M03,ta-en,mixed,Farmersக்கு என்ன benefits கிடைக்கும்?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.31-AM-_2_.wav,பார்மர்ஸ்க்கு என்ன விட்பிஞ்சு இருக்கிறது?,Are there any government schemes available in Parask?,scheme_search,[],scheme_search,"{""location"": ""Parask""}","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""e NAM National Agriculture Market 3""]","[""PM RKVY and PKVY Guidelines"", ""PMAY G Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines""]",75.0,76.47,fail,pass,pass,0,0,0,pass,,,,,
18,M03,ta-en,tanglish,Farmer-ku government-la enna benefits kidaikkum?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.31-AM-_1_.wav,பார்மணத்து தார்மணத்தில் என்ன மெடிபிட்ஸ் கிடைக்கும்,I need a government scheme related to medical insurance in PARMANATHAPURAM,scheme_search,[],scheme_search,"{""occupation"": ""farmer"", ""location"": ""PARMANATHAPURAM""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""e NAM National Agriculture Market 3""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""e NAM National Agriculture Market 3"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",100.0,104.55,fail,pass,pass,0,0,0,pass,,,,,
19,M03,ta,tamil,என்னுடைய நிலத்திற்கு ஏதாவது அரசு திட்டம் கிடைக்குமா?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.32-AM-_1_.wav,இன்னுடைய நடத்திற்கு ஏதாவது அஸ்துத்தம் கிடைக்கும்,I need a government scheme for the upcoming season,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",83.33,23.4,fail,pass,pass,0,0,0,pass,,,,,
20,M03,ta-en,mixed,PM Kisanக்கு eligibility என்ன?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.30-AM-_2_.wav,பியம் கிஸானுக்கு யார் வேலையம் இல்லை,I need government assistance for farmers,scheme_search,"[""PM Kisan""]",scheme_eligibility,"{""occupation"": ""farmer"", ""income_status"": ""low""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025"", ""e NAM National Agriculture Market 3""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",125.0,96.3,fail,pass,fail,1,1,1,pass,,,,,
21,M05,ta-en,tanglish,Enakku farmer scheme edhavadhu irukka?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.42 PM.wav,எனக்கு பார்மத்கு ஏதாவது இருக்கா,Are there any government schemes available for farmers?,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",100.0,100.0,fail,pass,pass,0,0,0,pass,,,,,
22,M05,ta,tamil,விவசாயிகளுக்கு என்ன அரசு திட்டங்கள் இருக்கிறது?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.42 PM (1).wav,விவாசாயுகளுக்கு என்ன ஆரச்சத் திட்டங்கள் இருக்கிறது?,What government schemes are available for farmers?,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",40.0,16.28,fail,pass,pass,0,0,0,pass,,,,,
23,M05,en,english,What benefits can farmers get from government schemes?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.43 PM.wav,What benefits can farmers get from government schemes?,What benefits can farmers get from government schemes?,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",0.0,0.0,pass,pass,pass,0,0,0,pass,,,,,
24,M05,ta-en,mixed,PM Kisan schemeக்கு நான் eligibleஆ?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.43 PM (1).wav,பியம் கிசான்ஸ் கேன்கு நான் எலிர்ட்டு பிள்ளா,I need to know if I am eligible for PM Kisan scheme,scheme_eligibility,"[""PM Kisan""]",scheme_eligibility,"{""occupation"": ""farmer"", ""scheme_name"": ""PM Kisan""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""Unified Package Insurance Scheme Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMAY G Guidelines"", ""PM KISAN Operational Guidelines""]",100.0,96.77,fail,pass,pass,1,1,1,pass,,,,,
25,M05,ta-en,tanglish,Indha scheme-ku enna documents venum?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.43 PM (2).wav,இந்த ஸ்கீம்கு என்ன டாக்குமென்று வேண்டும்?,I need this scheme,document_requirement,[],scheme_search,{},"[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines""]","[""PM RKVY and PKVY Guidelines"", ""Pradhan Mantri Awas Yojana Urban PMAY U 2"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",100.0,109.09,fail,pass,fail,0,0,0,pass,,,,,
26,M05,ta,tamil,அரசு திட்டத்திற்கு எப்படி விண்ணப்பிப்பது?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.43 PM (3).wav,அரசி திட்டத்து இருக்கு எப்படி விண்ணப்பிப்பது,are there government schemes available,application_status,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",100.0,18.42,fail,pass,fail,0,0,0,pass,,,,,
27,M05,ta-en,mixed,என் land details வைத்து என்ன schemes கிடைக்கும்?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.44 PM.wav,எல்லாம் தெரிவுகள் வைத்து என்ன ச்கீன்ஸ் கிடைக்கும்,I need to know about all the exams available,scheme_search,[],scheme_search,{},"[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Pradhan Mantri Matru Vandana Yojana PMMVY"", ""SMAM Operational Guidelines 2025"", ""e NAM National Agriculture Market 3""]","[""PM RKVY and PKVY Guidelines"", ""e NAM National Agriculture Market 3"", ""PM KISAN Operational Guidelines""]",71.43,54.76,fail,fail,pass,0,0,0,pass,,,,,
28,M05,ta-en,tanglish,Crop insurance scheme edhavadhu irukka?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.44 PM (1).wav,க்ராப் இஞ்சுடன்ஸ்கீன்ஸ் ஏதாவது இருக்கா,Are there any government schemes related to crop insurance?,scheme_search,"[""PM Fasal Bima""]",scheme_search,"{""occupation"": ""farmer"", ""scheme_name"": ""crop insurance""}","[""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""MIDH Operational Guidelines 2025"", ""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines""]","[""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document""]",100.0,100.0,fail,pass,pass,1,1,1,pass,,,,,
29,M05,ta,tamil,விவசாயிகளுக்கு பண உதவி வழங்கும் திட்டங்கள் என்ன?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.44 PM (2).wav,விவசாய்களுக்கு பணமுதவி வழங்கும் திட்டம் என்ன?,scheme for agricultural assistance,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",66.67,16.28,fail,pass,pass,0,0,0,pass,,,,,
30,M05,ta-en,mixed,எனக்கு eligible-ஆ இருக்கிற schemes என்னென்ன?,data/voice_dataset/audio/WhatsApp Audio 2026-09-06 at 12.48.44 PM (3).wav,எனக்கு எலிர்ஜுபலா இருக்கும் ச்கீன்ஸ் என்னன்ன?,I need a government scheme for low-income people,scheme_eligibility,[],scheme_search,"{""occupation"": ""farmer"", ""income_status"": ""low""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""PM Vishwakarma Yojana"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Pradhan Mantri Awas Yojana Urban PMAY U 2"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",80.0,55.0,fail,pass,fail,0,0,0,pass,,,,,
